Rank,Material,Family,Elongation (%),Modulus (MPa),Tensile Strength (MPa),Impact/Tear (MPa),Min Service Temp (°C),Flexibility Score,Cut Resistance Score,Impact Protection Score,Low Temp Score,Total Score (weighted),# Data Fields Available
65,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Glass Fiber Filled, Flame Retardant",Polymer,20.75,6375.0,60.0,,,0.5016056290231863,0.014707173748113776,0.0003559465756255501,0.3,0.22504531159767444,3
66,"Overview of materials for Nylon 6, PTFE Filled",Polymer,13.5,5750.0,84.0,,,0.4988174843991639,0.016576430439483328,0.0005107901104273119,0.3,0.22466120669363782,3
67,"Overview of materials for Nylon 66, Carbon Fiber/PTFE Filled",Polymer,2.45,17925.0,158.4,,,0.47706432590441716,0.04118800058768904,0.0009908050683127738,0.3,0.22452707525651527,3
68,"Overview of materials for Nylon 66, Mineral Filled, NCG Fiber Filled",Polymer,2.75,9135.0,137.95,,,0.48893430993564385,0.027165031441325108,0.0008588654730337724,0.3,0.2244482910044796,3
69,"Overview of materials for Polyetheretherketone, PEEK, Aramid Fiber Filled",Polymer,3.5,12350.0,134.0,,,0.4850222325461503,0.031006942644231844,0.0008333808079309825,0.3,0.2242265403460083,3
70,"Overview of materials for Nylon 66, Mineral Filled, Impact Grade",Polymer,10.25,5245.0,86.8,,,0.4978673998886985,0.016218392915361778,0.0005288551894875175,0.3,0.22422487887355047,3
71,Overview of materials for Nylon 11 + Carbon Fiber,Polymer,6.0,12125.0,120.5,,,0.48657102453317214,0.029186727268242778,0.0007462813196049915,0.3,0.2242051330310041,3
72,"Overview of materials for Liquid Crystal Polymer (LCP), Mineral Filled",Polymer,3.35,14515.0,125.5,,,0.4820606066898327,0.03293647062126544,0.0007785403893553586,0.3,0.22375786160569217,3
73,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Impact Grade, Molded",Polymer,7.0,3365.0,81.0,,,0.4987506689517898,0.013058570428795185,0.0004914346685770918,0.3,0.22357859219548037,3
74,"Overview of materials for Nylon 66, Aramid Fiber Filled",Polymer,5.8,6705.0,93.15,,,0.4936978678891208,0.018880143785028558,0.0005698242080704837,0.3,0.2235722617383149,3
75,"Overview of materials for Polycarbonate/ABS Alloy, Carbon Fiber Filled",Polymer,2.25,10555.0,116.3,,,0.4867911979646827,0.02662041595991352,0.0007191837010146831,0.3,0.22350688081581593,3
76,"Overview of materials for Polycarbonate/ABS Alloy, NCG Fiber Filled",Polymer,2.75,11190.0,107.55,,,0.48619427968570994,0.026481769339840092,0.0006627303289515409,0.3,0.2232450747577408,3
