Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,Density,elongation_pct,Elongation,strength_mpa,Strength,Score
79,111,Nylon 11 + Carbon Fiber,Polymer,1.00 - 1.26 g/cc,41.0 - 200 MPa,1.00 - 11.0 %,1.45 - 22.8 GPa,,,fiber,,,1.13,1.130g/cc,6.0,6.0%,120.5,120.5MPa,0.3106
80,36,"Acrylonitrile Butadiene Styrene (ABS), Heat Resistant, Molded",polymer,0.890 - 1.50 g/cc,19.6 - 63.0 MPa,2.50 - 70.0 %,1.70 - 2.70 GPa,,,,,,1.195,1.195g/cc,36.25,36.2%,41.3,41.3MPa,0.3104
81,72,"Acrylic, Optical Grade, Molded",Polymer,1.11 - 1.19 g/cc,38.0 - 89.3 MPa,2.00 - 40.0 %,1.76 - 3.65 GPa,,,Acrylic,,,1.15,1.150g/cc,21.0,21.0%,63.65,63.6MPa,0.3100
82,198,"PVC, High Impact",Polymer,1.20 - 1.52 g/cc,30.0 - 44.9 MPa,26 - 110 %,2.03 - 3.30 GPa,,,,,,1.3599999999999999,1.360g/cc,68.0,68.0%,37.45,37.5MPa,0.3099
83,167,"Polystyrene + Polyphenylene Ether, Unreinforced",Polymer,0.880 - 2.07 g/cc,34.0 - 165 MPa,0.700 - 150 %,1.50 - 16.3 GPa,,,,,,1.4749999999999999,1.475g/cc,75.35,75.3%,99.5,99.5MPa,0.3095
84,71,"Acrylic, UV Stabilized, Molded",Polymer,1.15 - 1.20 g/cc,32.4 - 80.0 MPa,2.00 - 50.0 %,1.79 - 3.45 GPa,,,Acrylic,,,1.1749999999999998,1.175g/cc,26.0,26.0%,56.2,56.2MPa,0.3094
85,169,"Styrene Acrylonitrile (SAN), Transparent",Polymer,1.07 - 1.08 g/cc,62.0 - 75.8 MPa,2.00 - 3.50 %,3.17 - 3.80 GPa,,,,,,1.0750000000000002,1.075g/cc,2.75,2.8%,68.9,68.9MPa,0.3092
86,180,Polypropylene with Glass Fiber + Bead Filler,Polymer,0.960 - 1.23 g/cc,34.5 - 92.0 MPa,2.5 - 6.0 %,2.80 - 7.00 GPa,,,,,,1.095,1.095g/cc,4.25,4.2%,63.25,63.2MPa,0.3080
87,41,"Acrylonitrile Butadiene Styrene (ABS), Unreinforced, Flame Retardant",Polymer,1.04 - 1.43 g/cc,21.6 - 52.0 MPa,2.00 - 56.0 %,1.27 - 4.48 GPa,,,,,,1.2349999999999999,1.235g/cc,29.0,29.0%,36.8,36.8MPa,0.3051
88,48,"Acrylonitrile Butadiene Styrene (ABS), 10% Carbon Fiber Filled",Polymer,1.07 - 1.26 g/cc,48.3 - 103 MPa,0.700 - 10.0 %,3.45 - 11.7 GPa,,,,,,1.165,1.165g/cc,5.35,5.3%,75.65,75.7MPa,0.3047
