No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
90,"Polyetheretherketone, Carbon Fiber Filled",Polymer,1.32 - 1.90 g/cc ,0.265 - 2900 MPa,0.300 - 7.00 %,1.00 - 172 GPa,50.0 - 186 MPa,-80.0 - -20.0 °C,fiber,,
91,"Polyetheretherketone, PEEK, Aramid Fiber Filled",Polymer,1.31 - 1.50 g/cc,75.0 - 193 MPa,1.00 - 6.00 %,4.00 - 20.7 GPa,,,,,
92,"Polyaryletherketone (PAEK), Carbon Fiber Filled",Polymer,1.33 - 1.51 g/cc,95.0 - 262 MPa,0.800 - 25.0 %,2.96 - 55.8 GPa,,,fiber,,
93,"Liquid Crystal Polymer (LCP), Unfilled",Polymer,1.38 - 2.02 g/cc ,32.0 - 182 MPa,0.600 - 4.10 %,7.10 - 18.0 GPa,,,fiber,,
94,"Liquid Crystal Polymer (LCP), Carbon Fiber Filled",Polymer,1.39 - 1.61 g/cc,1.39 - 1.61 g/cc,100 - 200 MPa,9.31 - 36.2 GPa,,,,,
95,"Liquid Crystal Polymer (LCP), Mineral Filled",Polymer,1.52 - 1.89 g/cc ,76.0 - 175 MPa,1.20 - 5.50 %,7.03 - 22.0 GPa,,,,,
96,Melamine-Phenolic Copolymer,Polymer,1.50 - 1.81 g/cc,53.0 - 76.0 MPa,0.470 - 0.950 %,5.00 - 13.3 GPa,,,,,
97,"Nylon 46, Glass Fiber Reinforced",Polymer,1.17 - 1.87 g/cc,60.0 - 280 MPa,1.30 - 15.0 %,1.00 - 25.5 GPa,,,fiber,,
98,"Nylon 6, Unreinforced",Polymer,0.670 - 4.50 g/cc,10.0 - 225 MPa,0.400 - 500 %,0.210 - 17.0 GPa,55.2 - 75.0 MPa,-60.0 - -10.0 °C,fiber,,
99,"Nylon 6, Impact Grade",Polymer,1.00 - 4.00 g/cc,12.0 - 470 MPa,1.50 - 500 %,0.145 - 3.30 GPa,,-100 - -40.0 °C,,,
100,"Nylon 6, Film Grade",Polymer,1.04 - 1.38 g/cc,48.0 - 112 MPa,3.50 - 400 %,0.100 - 4.00 GPa,23.0 - 14000,-60.0 °C,film,,
101,"Nylon 6, Nucleated",Polymer,1.10 - 1.41 g/cc,40.0 - 100 Mpa,3.00 - 240 %,0.400 - 5.70 GPa,32.0 - 286,,,,
