Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
30,186,Polypropylene with 10% Calcium Carbonate (CaCO3) Filler,Polymer,0.900 - 1.09 g/cc,11.0 - 32.1 MPa,2.0 - 545 %,0.900 - 2.07 GPa,,,,,,0.9950000000000001,273.5,21.55,0.4010243190926542
31,143,"Thermoset Polyurethane, Adhesive",Polymer,0.770 - 3.20 g/cc,0.0392 - 39.3 MPa,9.00 - 874 %,0.0000345 - 1.93 GPa,6.14 - 132 kN/m,-90.0 - -30.0 C,,,,1.985,441.5,19.6696,0.39190295456186974
32,148,"Silicone Elastomer, for Thermal Management",Polymer,1.10 - 3.18 g/cc,0.248 - 97.0 MPa,0.200 - 925 %,,3.40 - 231 kN/m,-73.3 - -40.0 C,,,,2.14,462.6,48.624,0.39093678461070397
33,63,ABS/Polyurethane Alloy,Polymer,0.970 - 1.20 g/cc,16.0 - 67.0 MPa,180 - 320 %,0.0827 - 0.745 GPa,,,gloss,,,1.085,250.0,41.5,0.3887992333493815
34,160,"Polypropylene, Mineral Reinforced",Polymer,0.905 - 3.15 g/cc,6.00 - 75.0 MPa,0.500 - 870 %,0.950 - 8.50 GPa,,,,,,2.0275,435.25,40.5,0.38859905083462626
35,194,"Thermoplastic Polyurethane (TPUR), Glass Fiber Reinforced",Polymer,1.22 - 1.91 g/cc,14.5 - 1000 MPa,1.0 - 430 %,0.345 - 45.0 GPa,,-30.0 C,,,,1.565,215.5,507.25,0.3807828240525432
36,90,"Polyetheretherketone, Carbon Fiber Filled",Polymer,1.32 - 1.90 g/cc,0.265 - 2900 MPa,0.300 - 7.00 %,1.00 - 172 GPa,50.0 - 186 MPa,-80.0 - -20.0 C,fiber,,,1.6099999999999999,3.65,1450.1325,0.37803843363365236
37,88,Ethylene Vinyl Alcohol (EVOH),Polymer,1.12 - 1.24 g/cc,37.0 - 74.0 MPa,130 - 330 %,1.08 - 3.10 GPa,500 - 1300,,,,,1.1800000000000002,230.0,55.5,0.37696505821052884
38,33,Nylon 6,Polymer,1.04 - 1.38 g/cc,28.0 - 80.0 MPa,4.50 - 460 %,0.100 - 4.00 GPa,23.0 - 14000,,Flim,,,1.21,232.25,54.0,0.3756348696484926
39,81,"Epoxy, Molded, Glass Fiber Filler",Polymer,1.11 - 2.20 g/cc,50.0 - 2850 MPa,0.600 - 2.04 %,6.00 - 89.6 GPa,20.0 - 74.0 MPa,,fiber,,,1.6550000000000002,1.32,1450.0,0.3743031360336784
